absence n.缺席，不在
action n.行動
addition n.加(法)
basement n.地下室
battle n./v.戰鬥
cafeteria n.自助餐廳
calendar n.日曆
cancel v.取消
candle n.蠟燭
captain n.機長，船長
carpet n.地毯
cartoon n.卡通
castle n.城堡
central a.中央的
deaf a.聾的
debate n./v.辯論
debt n.債務；恩情
degree n.度；學位
deliver v.遞送；發表
education n.教育
effective a.有效果的
effort n.努力
fearful a.可怕的
fee n.[C]費用
gather v.收集；聚集
general a.一般的
habit n.習慣
ignore v.忽視
increase v.增加
judge v.評定；判斷
leadership n.領導(力)
magic n./a.魔術(的)
main a.主要的
naked a.裸露的
obey v.遵守
pack v./n.(打)包
pain n.痛苦
pardon n./v.原諒
particular a.特別的
passenger n.乘客
patient n.病患
quarter n.四分之一
range n./v.範圍
rapid a.快速的
sample n.樣品
satisfy v.使滿意
search n./v.搜尋
semester n.學期
separate v.分開；區分
servant n.僕人
share v.分享；分擔
shock v./n.震驚
talent n.[C]天賦
target n./v.目標
temple n.廟宇
vacation n./v.(度)假期
wake v.醒來；叫醒
able a.能夠的
unable a.不能的
enable v.使...能夠
disable v.使...不能
capable a.能夠的
incapable a.不能的
abrupt a.突然的
bankrupt a.破產的
corrupt v./a.腐敗(的)
erupt v.(火山)爆發
interrupt v.打斷(談話)
disrupt v.中斷
abstain v.戒除
attain v.達成
contain v.包含；控制
detain v.耽擱；拘留
maintain v.維持；保養
obtain v.獲得
sustain v.支撐
abstract a.抽象的
attract v.吸引
contract n.合約
distract v.使...分心
extract v.拔出；榨取
accept v.接受
expect v.排除
concept n.概念
acquire v.獲得；習得
inquire v.詢問；調查
require v.要求
addict v.使...上癮
predict v.預測
agree v.同意；適合
aid v./n.幫助
aim v./n.瞄準
alarm v./n.警報
allow v.允許
bear v.忍受；運送
believable a.可信的
belt n.(皮)帶
bend v.彎曲
century n.世紀，百年
character n.性格；角色
cheat v.欺騙
chemical a.化學的
childish a.幼稚的
choice n.選擇
chopsticks n.pl.筷子
circle n./v.圓圈
citizen n.公民；市民
classic n./a.經典(的)
deny v.否認；不給
depend v.依靠
desire v./n.渴望
diamond n.鑽石
element n.要素
elevator n.電梯
emotion n.[C]情緒
encourage v.鼓勵
fit v.適合；合身
fix v.固定；修理
flood n./v.洪水
flu n.流行性感冒
flat a.平坦的
generous a.慷慨的
geography n.地形；地理
giant a.巨大的
handle v.處理
hide v.隱藏
indicate v.指出；顯示
industry n.工業；勤勞
length n.長度
limit n./v.限制
master v.精通
match n.比賽；對手
material n.材料；資料
meaning n.意思
means n.財富；手段
narrow a.狹窄的
natural a.自然的
naughty a.頑皮的
official n.官員
operate v.操作；手術
peace n.和平
period n.時期；句點
pick v./n.挑選
pitch v./n.投(球)
pleasant a.令人愉快的
reality n.現實
record n.紀錄
sidewalk n.人行道
silence n.沉默；寂靜
similar a.相似的
single a.單一(身)的
skilled a.熟練的
slender a.苗條的
slide v./n.滑動
social a.社會的
term n.期限；術語
terrific a.極好的
thick a.厚的；濃的
toast n./v.乾杯
value n.價值(觀)
victory n.勝利
weapon n.武器
whisper n./v.耳語
widen v.加寬
admit v.承認；准入
commit v.託付；犯(罪)
emit v.排放
omit v.忽略
permit v.允許
submit v.提交，交出
advise v.建議
